frame,prev_frame,rotation_delta_deg,translation_delta_mm
000010,000005,0.379245135459704,0.6421560904464647
000040,000035,0.3780413370419871,0.7535633485927756
000030,000025,0.370859582411451,0.9757629795573551
000840,000835,0.3226646605751797,0.667572434388641
000850,000845,0.3120841447872248,0.5171517241522059
000015,000010,0.2842283031560159,0.3614743002670625
000050,000045,0.23881954209125764,0.4361707235691571
000055,000050,0.21507578466944746,0.9202268468760076
000855,000850,0.18134050554324962,0.24619651766143402
000020,000015,0.15996525165407371,0.19091483146436655
000810,000805,0.14740019879303765,2.71777358481419
000845,000840,0.0668630539120803,0.3723419748722554
