after_extent,after_mean,before_extent,before_mean,template_dir,variant,view
"[53.6875, 59.5625, 184.125]","[25.359375, -7.960938, -0.718262]","[0.053711, 0.05957, 0.184082]","[0.02536, -0.007957, -0.000718]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,23
"[66.375, 46.375, 184.125]","[13.882812, -18.765625, 2.722656]","[0.066406, 0.046387, 0.184082]","[0.013885, -0.018753, 0.002724]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,24
"[72.25, 30.265625, 184.125]","[-0.008553, -22.265625, 3.214844]","[0.072266, 0.030273, 0.184082]","[-9e-06, -0.022263, 0.003216]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,25
"[64.9375, 62.0, 184.0]","[26.125, -0.021606, 16.421875]","[0.064941, 0.062012, 0.184082]","[0.026123, -2.2e-05, 0.016418]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,26
"[66.875, 54.1875, 184.0]","[-19.03125, -13.6875, 18.578125]","[0.066895, 0.054199, 0.184082]","[-0.019028, -0.013687, 0.018585]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,27
"[66.875, 54.1875, 184.0]","[-19.140625, 13.484375, 18.5625]","[0.066895, 0.054199, 0.184082]","[-0.019135, 0.013481, 0.01857]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,28
"[70.3125, 52.25, 184.0]","[6.59375, 20.125, 19.1875]","[0.070312, 0.052246, 0.184082]","[0.006596, 0.020126, 0.019196]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,29
"[70.3125, 52.25, 184.0]","[6.582031, -20.265625, 19.234375]","[0.070312, 0.052246, 0.184082]","[0.006584, -0.020279, 0.019226]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,30
"[65.9375, 62.5, 184.0]","[-25.1875, -0.014832, 21.375]","[0.065918, 0.0625, 0.184082]","[-0.025177, -1.5e-05, 0.021378]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,31
"[67.375, 54.6875, 184.0]","[18.5, 13.078125, 23.0]","[0.067383, 0.054688, 0.184082]","[0.018494, 0.013077, 0.022995]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,32
"[67.375, 55.1875, 184.0]","[18.390625, -13.289062, 23.03125]","[0.067383, 0.055176, 0.184082]","[0.018387, -0.01329, 0.023026]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,33
"[70.8125, 53.21875, 184.0]","[-6.375, -19.6875, 23.359375]","[0.070801, 0.053223, 0.184082]","[-0.006374, -0.019699, 0.023361]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,34
"[70.8125, 53.21875, 184.0]","[-6.394531, 19.546875, 23.265625]","[0.070801, 0.053223, 0.184082]","[-0.006393, 0.019547, 0.02327]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,35
"[70.3125, 62.0, 182.625]","[16.984375, -0.032959, 49.53125]","[0.070312, 0.062012, 0.182617]","[0.016983, -3.3e-05, 0.04953]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,36
"[70.8125, 59.0625, 182.625]","[-12.953125, -9.601562, 48.90625]","[0.070801, 0.059082, 0.182617]","[-0.012955, -0.009605, 0.04892]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,37
"[70.8125, 58.125, 182.625]","[-13.046875, 9.421875, 48.875]","[0.070801, 0.058105, 0.182617]","[-0.013046, 0.009422, 0.048889]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,38
"[71.75, 57.125, 182.625]","[4.53125, 14.460938, 47.375]","[0.071777, 0.057129, 0.182617]","[0.004532, 0.014465, 0.047394]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,39
"[71.75, 58.125, 182.625]","[4.5, -14.632812, 47.46875]","[0.071777, 0.058105, 0.182617]","[0.004501, -0.014633, 0.047455]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,40
"[71.75, 54.6875, 6.8125]","[0.001572, -0.098572, 92.0]","[0.071777, 0.054688, 0.006836]","[2e-06, -9.9e-05, 0.092041]",/home/etri/CLI_environment/sam6d_ws/template/sauce_unit_test/vertex_630000_npy_mm/Sauce_with_normal_vertexcolor/templates,vertex_630000,41
